modelo;data_criacao;id_carro_modelo
TRACKER;2022-09-23;222
TRAFIC;2022-09-23;223
VECTRA;2022-09-23;224
VERANEIO;2022-09-23;225
ZAFIRA;2022-09-23;226
HOVER;2022-09-23;227
BR-800;2022-09-23;228
CARAJAS;2022-09-23;229
TOCANTINS;2022-09-23;230
XAVANTE;2022-09-23;231
VIP;2022-09-23;232
TOWNER;2022-09-23;233
ACCORD;2022-09-23;234
CITY;2022-09-23;235
CIVIC;2022-09-23;236
CR-V;2022-09-23;237
FIT;2022-09-23;238
ODYSSEY;2022-09-23;239
PASSPORT;2022-09-23;240
PRELUDE;2022-09-23;241
ACCENT;2022-09-23;242
ATOS;2022-09-23;243
AZERA;2022-09-23;244
ELANTRA;2022-09-23;246
EXCEL;2022-09-23;247
GALLOPER;2022-09-23;248
GENESIS;2022-09-23;249
H1;2022-09-23;250
H100;2022-09-23;251
I30;2022-09-23;252
IX35;2022-09-23;253
MATRIX;2022-09-23;254
PORTER;2022-09-23;255
SANTA FE;2022-09-23;256
SCOUPE;2022-09-23;257
SONATA;2022-09-23;258
TERRACAN;2022-09-23;259
TRAJET;2022-09-23;260
TUCSON;2022-09-23;261
VELOSTER;2022-09-23;262
VERACRUZ;2022-09-23;263
J3;2022-09-23;264
J5;2022-09-23;265
J6;2022-09-23;266
DAIMLER;2022-09-23;267
S-TYPE;2022-09-23;268
X-TYPE;2022-09-23;269
MODELOS XJ;2022-09-23;270
MODELOS XK;2022-09-23;271
CHEROKEE;2022-09-23;272
COMMANDER;2022-09-23;273
COMPASS;2022-09-23;274
GRAND CHEROKEE;2022-09-23;275
WRANGLER;2022-09-23;276
TOPIC VAN;2022-09-23;277
JIPE MONTEZ;2022-09-23;278
PICAPE MONTEZ;2022-09-23;279
CARNIVAL;2022-09-23;280
CERATO;2022-09-23;281
CERATO KOUP;2022-09-23;282
CERES;2022-09-23;283
CLARUS;2022-09-23;284
GRAND BESTA;2022-09-23;285
GRAND CARNIVAL;2022-09-23;286
HI-TOPIC;2022-09-23;287
MAGENTIS;2022-09-23;288
MOHAVE;2022-09-23;289
OPIRUS;2022-09-23;290
OPTIMA;2022-09-23;291
PICANTO;2022-09-23;292
QUORIS;2022-09-23;293
ROCSTA;2022-09-23;294
SEPHIA;2022-09-23;295
SHUMA;2022-09-23;296
SORENTO;2022-09-23;297
LAIKA;2022-09-23;298
NIVA;2022-09-23;299
SAMARA;2022-09-23;300
GALLARDO;2022-09-23;301
MURCIELAGO;2022-09-23;302
DEFENDER;2022-09-23;303
DISCOVERY;2022-09-23;304
FREELANDER;2022-09-23;305
NEW RANGE;2022-09-23;306
RANGE ROVER;2022-09-23;307
ES;2022-09-23;308
GS;2022-09-23;309
IS-300;2022-09-23;310
LS;2022-09-23;311
RX;2022-09-23;312
SC;2022-09-23;313
320;2022-09-23;314
620;2022-09-23;315
ELAN;2022-09-23;317
ESPRIT;2022-09-23;318
SCORPIO;2022-09-23;319
222;2022-09-23;320
228;2022-09-23;321
3200;2022-09-23;322
430;2022-09-23;323
GHIBLI;2022-09-23;325
GRANCABRIO;2022-09-23;326
GRANSPORT;2022-09-23;327
GRANTURISMO;2022-09-23;328
QUATTROPORTE;2022-09-23;329
SHAMAL;2022-09-23;330
PICK-UP;2022-09-23;332
323;2022-09-23;333
626;2022-09-23;334
929;2022-09-23;335
B-2500;2022-09-23;336
B2200;2022-09-23;337
MILLENIA;2022-09-23;338
MPV;2022-09-23;339
MX-3;2022-09-23;340
MX-5;2022-09-23;341
NAVAJO;2022-09-23;342
PROTEGE;2022-09-23;343
